Date,Open,High,Low,Close
1985-05-16,132.86,132.86,132.86,132.86
1985-05-17,132.26,132.26,132.26,132.26
1985-05-18,131.87,131.87,131.87,131.87
1985-05-20,131.4,131.4,131.4,131.4
1985-05-21,132.45,132.45,132.45,132.45
1985-05-22,132.43,132.43,132.43,132.43
1985-05-23,132.82,132.82,132.82,132.82
1985-05-24,133.26,133.26,133.26,133.26
1985-05-25,133.29,133.29,133.29,133.29
1985-05-28,133.59,133.59,133.59,133.59
1985-05-29,133.17,133.17,133.17,133.17
1985-05-30,133.73,133.73,133.73,133.73
1985-05-31,134.09,134.09,134.09,134.09
1985-06-01,134.24,134.24,134.24,134.24
1985-06-03,133.77,133.77,133.77,133.77
1985-06-04,133.62,133.62,133.62,133.62
1985-06-05,134.07,134.07,134.07,134.07
1985-06-07,134.21,134.21,134.21,134.21
1985-06-08,134.32,134.32,134.32,134.32
1985-06-10,135.02,135.02,135.02,135.02
1985-06-11,137.41,137.41,137.41,137.41
1985-06-12,138.58,138.58,138.58,138.58
1985-06-13,138.46,138.46,138.46,138.46
1985-06-14,140.14,140.14,140.14,140.14
1985-06-15,139.84,139.84,139.84,139.84
1985-06-17,140.77,140.77,140.77,140.77
1985-06-18,140.31,140.31,140.31,140.31
1985-06-19,139.42,139.42,139.42,139.42
1985-06-20,138.4,138.4,138.4,138.4
1985-06-21,138.62,138.62,138.62,138.62
1985-06-22,138.73,138.73,138.73,138.73
1985-06-24,138.12,138.12,138.12,138.12
1985-06-25,138.05,138.05,138.05,138.05
1985-06-26,138.06,138.06,138.06,138.06
1985-06-27,138.48,138.48,138.48,138.48
1985-06-28,137.2,137.2,137.2,137.2
1985-06-29,136.58,136.58,136.58,136.58
1985-07-01,136.83,136.83,136.83,136.83
1985-07-02,136.88,136.88,136.88,136.88
1985-07-03,135.67,135.67,135.67,135.67
1985-07-04,135.3,135.3,135.3,135.3
1985-07-05,134.9,134.9,134.9,134.9
1985-07-06,134.63,134.63,134.63,134.63
1985-07-08,134.33,134.33,134.33,134.33
1985-07-09,134.44,134.44,134.44,134.44
1985-07-10,134.39,134.39,134.39,134.39
1985-07-11,135.79,135.79,135.79,135.79
1985-07-12,135.7,135.7,135.7,135.7
1985-07-13,136.59,136.59,136.59,136.59
1985-07-15,136.37,136.37,136.37,136.37
1985-07-16,135.41,135.41,135.41,135.41
